sentence,skill,label
Following a beginner course on TypeScript right now.,TypeScript,Beginner
Completed an introductory course in Deep Learning.,Deep Learning,Beginner
Optimized performance-critical systems built with Next.js.,Next.js,Expert
Used Machine Learning to build a personal project.,Machine Learning,Intermediate
Have shipped a couple of side projects built with REST API.,REST API,Intermediate
Two years of hands-on experience with GraphQL.,GraphQL,Intermediate
Started exploring CI/CD recently.,CI/CD,Beginner
Completed an introductory course in GraphQL.,GraphQL,Beginner
Some hands-on experience with TensorFlow in small assignments.,TensorFlow,Beginner
Beginner-level knowledge of Docker.,Docker,Beginner
Exposed to Flask during a university project.,Flask,Beginner
Following a beginner course on PostgreSQL right now.,PostgreSQL,Beginner
Regularly use JavaScript for day-to-day development tasks.,JavaScript,Intermediate
Used JavaScript extensively during a semester-long project.,JavaScript,Intermediate
Two years of hands-on experience with NestJS.,NestJS,Intermediate
Completed an introductory course in Docker.,Docker,Beginner
Published technical talks on advanced Flask techniques.,Flask,Expert
Solid working knowledge of Deep Learning from an internship.,Deep Learning,Intermediate
Built a full application using SQL.,SQL,Intermediate
Basic understanding of Redis.,Redis,Beginner
Currently learning Deep Learning as part of a bootcamp.,Deep Learning,Beginner
Beginner-level knowledge of React.,React,Beginner
Basic understanding of Machine Learning.,Machine Learning,Beginner
Wrote a few small scripts using AWS.,AWS,Beginner
Solid working knowledge of MongoDB from an internship.,MongoDB,Intermediate
Following a beginner course on AWS right now.,AWS,Beginner
Built and maintained mission-critical infrastructure with JavaScript.,JavaScript,Expert
Following a beginner course on Docker right now.,Docker,Beginner
Mentored junior developers on best practices in Flask.,Flask,Expert
Published technical talks on advanced REST API techniques.,REST API,Expert
Published technical talks on advanced NestJS techniques.,NestJS,Expert
Implemented core functionality with Docker in a group project.,Docker,Intermediate
Developed features using AWS in a small team.,AWS,Intermediate
Contributed to a project using NestJS during an internship.,NestJS,Intermediate
Optimized performance-critical systems built with Python.,Python,Expert
One year of experience working with Java.,Java,Intermediate
Developed features using GraphQL in a small team.,GraphQL,Intermediate
Mentored junior developers on best practices in NestJS.,NestJS,Expert
Published technical talks on advanced Machine Learning techniques.,Machine Learning,Expert
Beginner-level knowledge of PyTorch.,PyTorch,Beginner
Studied the fundamentals of SQL in class.,SQL,Beginner
Some hands-on experience with Django in small assignments.,Django,Beginner
"Deep expertise in React, including advanced patterns and internals.",React,Expert
Five years of professional experience with REST API.,REST API,Expert
Worked with PostgreSQL for several months on a team project.,PostgreSQL,Intermediate
Two years of hands-on experience with CI/CD.,CI/CD,Intermediate
Extensive production experience with C++ at scale.,C++,Expert
Contributed to a project using Java during an internship.,Java,Intermediate
Worked with JavaScript for several months on a team project.,JavaScript,Intermediate
Comfortable writing TypeScript code for medium-sized applications.,TypeScript,Intermediate
Led a team building production systems with PHP.,PHP,Expert
Comfortable writing C++ code for medium-sized applications.,C++,Intermediate
Solid working knowledge of SQL from an internship.,SQL,Intermediate
Solid working knowledge of AWS from an internship.,AWS,Intermediate
Familiar with AWS through coursework.,AWS,Beginner
Solid working knowledge of Python from an internship.,Python,Intermediate
Five years of professional experience with PyTorch.,PyTorch,Expert
Optimized performance-critical systems built with Machine Learning.,Machine Learning,Expert
Owned the technical roadmap for a major NestJS migration.,NestJS,Expert
Two years of hands-on experience with Java.,Java,Intermediate
Regularly use Kubernetes for day-to-day development tasks.,Kubernetes,Intermediate
Only used React in a couple of homework assignments.,React,Beginner
Applied PyTorch to solve practical problems in coursework.,PyTorch,Intermediate
Exposed to NestJS during a university project.,NestJS,Beginner
Following a beginner course on Linux right now.,Linux,Beginner
Currently learning Next.js as part of a bootcamp.,Next.js,Beginner
Currently learning MongoDB as part of a bootcamp.,MongoDB,Beginner
Started exploring Git recently.,Git,Beginner
Contributed to open-source projects related to TypeScript.,TypeScript,Expert
Started exploring TypeScript recently.,TypeScript,Beginner
Five years of professional experience with CI/CD.,CI/CD,Expert
Regularly use Django for day-to-day development tasks.,Django,Intermediate
Recognized internally as the go-to expert on Tailwind CSS.,Tailwind CSS,Expert
Mentored junior developers on best practices in Django.,Django,Expert
Trained the engineering team on advanced Machine Learning concepts.,Machine Learning,Expert
Implemented core functionality with PHP in a group project.,PHP,Intermediate
Familiar with Flask through coursework.,Flask,Beginner
Started exploring REST API recently.,REST API,Beginner
Some hands-on experience with Next.js in small assignments.,Next.js,Beginner
"Deep expertise in Node.js, including advanced patterns and internals.",Node.js,Expert
Worked with Git for several months on a team project.,Git,Intermediate
Optimized performance-critical systems built with MongoDB.,MongoDB,Expert
Started exploring SQL recently.,SQL,Beginner
Recognized internally as the go-to expert on Go.,Go,Expert
Trained the engineering team on advanced Tailwind CSS concepts.,Tailwind CSS,Expert
Started exploring MongoDB recently.,MongoDB,Beginner
Completed an introductory course in Tailwind CSS.,Tailwind CSS,Beginner
Beginner-level knowledge of Python.,Python,Beginner
Implemented core functionality with Python in a group project.,Python,Intermediate
One year of experience working with Linux.,Linux,Intermediate
Exposed to Node.js during a university project.,Node.js,Beginner
Following a beginner course on NestJS right now.,NestJS,Beginner
Some hands-on experience with Tailwind CSS in small assignments.,Tailwind CSS,Beginner
Beginner-level knowledge of MongoDB.,MongoDB,Beginner
Wrote a few small scripts using GraphQL.,GraphQL,Beginner
Architected scalable solutions using NestJS for enterprise clients.,NestJS,Expert
Have shipped a couple of side projects built with AWS.,AWS,Intermediate
Drove major performance improvements in a Python-based system.,Python,Expert
Beginner-level knowledge of PHP.,PHP,Beginner
Some hands-on experience with GraphQL in small assignments.,GraphQL,Beginner
Contributed to open-source projects related to Tailwind CSS.,Tailwind CSS,Expert
Basic understanding of Node.js.,Node.js,Beginner
One year of experience working with Redis.,Redis,Intermediate
Published technical talks on advanced Git techniques.,Git,Expert
Implemented core functionality with Go in a group project.,Go,Intermediate
"New to Tailwind CSS, still getting comfortable with the basics.",Tailwind CSS,Beginner
Built a full application using C++.,C++,Intermediate
Published technical talks on advanced PostgreSQL techniques.,PostgreSQL,Expert
Implemented core functionality with Deep Learning in a group project.,Deep Learning,Intermediate
"New to Kubernetes, still getting comfortable with the basics.",Kubernetes,Beginner
Two years of hands-on experience with TensorFlow.,TensorFlow,Intermediate
One year of experience working with Node.js.,Node.js,Intermediate
Optimized performance-critical systems built with React.,React,Expert
Regularly use REST API for day-to-day development tasks.,REST API,Intermediate
One year of experience working with TensorFlow.,TensorFlow,Intermediate
Studied the fundamentals of CI/CD in class.,CI/CD,Beginner
Mentored junior developers on best practices in MongoDB.,MongoDB,Expert
Mentored junior developers on best practices in Python.,Python,Expert
Wrote a few small scripts using Next.js.,Next.js,Beginner
Worked with NestJS for several months on a team project.,NestJS,Intermediate
Trained the engineering team on advanced Kubernetes concepts.,Kubernetes,Expert
Recognized internally as the go-to expert on Deep Learning.,Deep Learning,Expert
Two years of hands-on experience with PyTorch.,PyTorch,Intermediate
Used PHP extensively during a semester-long project.,PHP,Intermediate
Took an online tutorial on Tailwind CSS.,Tailwind CSS,Beginner
Solid working knowledge of TypeScript from an internship.,TypeScript,Intermediate
Owned the technical roadmap for a major Kubernetes migration.,Kubernetes,Expert
Familiar with SQL through coursework.,SQL,Beginner
"New to Go, still getting comfortable with the basics.",Go,Beginner
Solid working knowledge of TensorFlow from an internship.,TensorFlow,Intermediate
Built a full application using PyTorch.,PyTorch,Intermediate
Applied SQL to solve practical problems in coursework.,SQL,Intermediate
Developed features using Deep Learning in a small team.,Deep Learning,Intermediate
Can independently build features using REST API with some guidance.,REST API,Intermediate
Drove major performance improvements in a NestJS-based system.,NestJS,Expert
Comfortable writing MongoDB code for medium-sized applications.,MongoDB,Intermediate
Developed features using Tailwind CSS in a small team.,Tailwind CSS,Intermediate
Designed the core architecture of a large-scale Flask application.,Flask,Expert
Published technical talks on advanced C++ techniques.,C++,Expert
Beginner-level knowledge of REST API.,REST API,Beginner
Drove major performance improvements in a Machine Learning-based system.,Machine Learning,Expert
Can independently build features using Node.js with some guidance.,Node.js,Intermediate
Optimized performance-critical systems built with Deep Learning.,Deep Learning,Expert
Applied Django to solve practical problems in coursework.,Django,Intermediate
Mentored junior developers on best practices in Git.,Git,Expert
Have shipped a couple of side projects built with Next.js.,Next.js,Intermediate
Developed features using Go in a small team.,Go,Intermediate
Optimized performance-critical systems built with TypeScript.,TypeScript,Expert
"New to Deep Learning, still getting comfortable with the basics.",Deep Learning,Beginner
Recognized internally as the go-to expert on JavaScript.,JavaScript,Expert
"New to REST API, still getting comfortable with the basics.",REST API,Beginner
Took an online tutorial on CI/CD.,CI/CD,Beginner
Took an online tutorial on PyTorch.,PyTorch,Beginner
Worked with TensorFlow for several months on a team project.,TensorFlow,Intermediate
Exposed to Deep Learning during a university project.,Deep Learning,Beginner
Comfortable writing Redis code for medium-sized applications.,Redis,Intermediate
Contributed to a project using MongoDB during an internship.,MongoDB,Intermediate
Recognized internally as the go-to expert on Node.js.,Node.js,Expert
Developed features using Python in a small team.,Python,Intermediate
Applied Tailwind CSS to solve practical problems in coursework.,Tailwind CSS,Intermediate
Exposed to TypeScript during a university project.,TypeScript,Beginner
Exposed to GraphQL during a university project.,GraphQL,Beginner
Some hands-on experience with Python in small assignments.,Python,Beginner
Recognized internally as the go-to expert on PyTorch.,PyTorch,Expert
Only used Redis in a couple of homework assignments.,Redis,Beginner
Following a beginner course on Deep Learning right now.,Deep Learning,Beginner
Applied Git to solve practical problems in coursework.,Git,Intermediate
Completed an introductory course in React.,React,Beginner
Solid working knowledge of JavaScript from an internship.,JavaScript,Intermediate
Mentored junior developers on best practices in Deep Learning.,Deep Learning,Expert
"Deep expertise in PostgreSQL, including advanced patterns and internals.",PostgreSQL,Expert
Only used NestJS in a couple of homework assignments.,NestJS,Beginner
Trained the engineering team on advanced PHP concepts.,PHP,Expert
Architected scalable solutions using Redis for enterprise clients.,Redis,Expert
Wrote a few small scripts using MongoDB.,MongoDB,Beginner
Some hands-on experience with Docker in small assignments.,Docker,Beginner
Implemented core functionality with Java in a group project.,Java,Intermediate
Following a beginner course on GraphQL right now.,GraphQL,Beginner
Implemented core functionality with Git in a group project.,Git,Intermediate
Applied Machine Learning to solve practical problems in coursework.,Machine Learning,Intermediate
"Deep expertise in CI/CD, including advanced patterns and internals.",CI/CD,Expert
Following a beginner course on Django right now.,Django,Beginner
Only used SQL in a couple of homework assignments.,SQL,Beginner
"New to MongoDB, still getting comfortable with the basics.",MongoDB,Beginner
Developed features using SQL in a small team.,SQL,Intermediate
Currently learning Go as part of a bootcamp.,Go,Beginner
Used Node.js to build a personal project.,Node.js,Intermediate
Recognized internally as the go-to expert on C++.,C++,Expert
Contributed to a project using TypeScript during an internship.,TypeScript,Intermediate
Solid working knowledge of C++ from an internship.,C++,Intermediate
Took an online tutorial on Node.js.,Node.js,Beginner
Drove major performance improvements in a Deep Learning-based system.,Deep Learning,Expert
Designed the core architecture of a large-scale TypeScript application.,TypeScript,Expert
Following a beginner course on REST API right now.,REST API,Beginner
Architected scalable solutions using Go for enterprise clients.,Go,Expert
Studied the fundamentals of Linux in class.,Linux,Beginner
Completed an introductory course in Go.,Go,Beginner
One year of experience working with TypeScript.,TypeScript,Intermediate
Familiar with Next.js through coursework.,Next.js,Beginner
Beginner-level knowledge of Java.,Java,Beginner
Studied the fundamentals of TypeScript in class.,TypeScript,Beginner
"New to Next.js, still getting comfortable with the basics.",Next.js,Beginner
Currently learning PostgreSQL as part of a bootcamp.,PostgreSQL,Beginner
Used Deep Learning to build a personal project.,Deep Learning,Intermediate
Contributed to a project using Next.js during an internship.,Next.js,Intermediate
Five years of professional experience with Django.,Django,Expert
Studied the fundamentals of Django in class.,Django,Beginner
Recognized internally as the go-to expert on Docker.,Docker,Expert
Took an online tutorial on Deep Learning.,Deep Learning,Beginner
Designed the core architecture of a large-scale Java application.,Java,Expert
"New to Linux, still getting comfortable with the basics.",Linux,Beginner
Familiar with React through coursework.,React,Beginner
Started exploring PostgreSQL recently.,PostgreSQL,Beginner
Designed the core architecture of a large-scale NestJS application.,NestJS,Expert
"Deep expertise in JavaScript, including advanced patterns and internals.",JavaScript,Expert
Implemented core functionality with NestJS in a group project.,NestJS,Intermediate
Exposed to REST API during a university project.,REST API,Beginner
Currently learning NestJS as part of a bootcamp.,NestJS,Beginner
Have shipped a couple of side projects built with SQL.,SQL,Intermediate
Some hands-on experience with MongoDB in small assignments.,MongoDB,Beginner
"Deep expertise in Kubernetes, including advanced patterns and internals.",Kubernetes,Expert
Recognized internally as the go-to expert on PHP.,PHP,Expert
Developed features using NestJS in a small team.,NestJS,Intermediate
Used MongoDB extensively during a semester-long project.,MongoDB,Intermediate
Currently learning PyTorch as part of a bootcamp.,PyTorch,Beginner
Only used Docker in a couple of homework assignments.,Docker,Beginner
Architected scalable solutions using Linux for enterprise clients.,Linux,Expert
Currently learning React as part of a bootcamp.,React,Beginner
Mentored junior developers on best practices in JavaScript.,JavaScript,Expert
Owned the technical roadmap for a major Machine Learning migration.,Machine Learning,Expert
Worked with Redis for several months on a team project.,Redis,Intermediate
Contributed to a project using GraphQL during an internship.,GraphQL,Intermediate
Designed the core architecture of a large-scale Next.js application.,Next.js,Expert
Designed the core architecture of a large-scale CI/CD application.,CI/CD,Expert
Owned the technical roadmap for a major CI/CD migration.,CI/CD,Expert
One year of experience working with Docker.,Docker,Intermediate
"New to Git, still getting comfortable with the basics.",Git,Beginner
Architected scalable solutions using PostgreSQL for enterprise clients.,PostgreSQL,Expert
Contributed to open-source projects related to Docker.,Docker,Expert
Some hands-on experience with React in small assignments.,React,Beginner
Basic understanding of PostgreSQL.,PostgreSQL,Beginner
Wrote a few small scripts using REST API.,REST API,Beginner
Extensive production experience with PostgreSQL at scale.,PostgreSQL,Expert
Published technical talks on advanced TypeScript techniques.,TypeScript,Expert
Used CI/CD to build a personal project.,CI/CD,Intermediate
Contributed to a project using PyTorch during an internship.,PyTorch,Intermediate
Owned the technical roadmap for a major React migration.,React,Expert
Have read the documentation for CI/CD but limited practical use.,CI/CD,Beginner
Used Python extensively during a semester-long project.,Python,Intermediate
Worked with Next.js for several months on a team project.,Next.js,Intermediate
Contributed to open-source projects related to AWS.,AWS,Expert
Following a beginner course on Git right now.,Git,Beginner
Architected scalable solutions using Python for enterprise clients.,Python,Expert
"New to TensorFlow, still getting comfortable with the basics.",TensorFlow,Beginner
Built a full application using Deep Learning.,Deep Learning,Intermediate
Studied the fundamentals of TensorFlow in class.,TensorFlow,Beginner
Worked with Java for several months on a team project.,Java,Intermediate
Have read the documentation for AWS but limited practical use.,AWS,Beginner
Regularly use NestJS for day-to-day development tasks.,NestJS,Intermediate
Recognized internally as the go-to expert on TypeScript.,TypeScript,Expert
Recognized internally as the go-to expert on Linux.,Linux,Expert
"Deep expertise in TensorFlow, including advanced patterns and internals.",TensorFlow,Expert
Developed features using Git in a small team.,Git,Intermediate
Have read the documentation for JavaScript but limited practical use.,JavaScript,Beginner
Built a full application using Redis.,Redis,Intermediate
Exposed to Kubernetes during a university project.,Kubernetes,Beginner
Beginner-level knowledge of Machine Learning.,Machine Learning,Beginner
Architected scalable solutions using Kubernetes for enterprise clients.,Kubernetes,Expert
Applied Deep Learning to solve practical problems in coursework.,Deep Learning,Intermediate
Five years of professional experience with SQL.,SQL,Expert
Two years of hands-on experience with Deep Learning.,Deep Learning,Intermediate
Have shipped a couple of side projects built with Node.js.,Node.js,Intermediate
Contributed to open-source projects related to Deep Learning.,Deep Learning,Expert
Beginner-level knowledge of Kubernetes.,Kubernetes,Beginner
Started exploring NestJS recently.,NestJS,Beginner
Exposed to Go during a university project.,Go,Beginner
Started exploring TensorFlow recently.,TensorFlow,Beginner
Two years of hands-on experience with Machine Learning.,Machine Learning,Intermediate
Recognized internally as the go-to expert on GraphQL.,GraphQL,Expert
Built a full application using PHP.,PHP,Intermediate
Worked with Deep Learning for several months on a team project.,Deep Learning,Intermediate
Trained the engineering team on advanced Java concepts.,Java,Expert
Started exploring Tailwind CSS recently.,Tailwind CSS,Beginner
Built a full application using NestJS.,NestJS,Intermediate
Worked with MongoDB for several months on a team project.,MongoDB,Intermediate
"Deep expertise in C++, including advanced patterns and internals.",C++,Expert
Wrote a few small scripts using Go.,Go,Beginner
Designed the core architecture of a large-scale SQL application.,SQL,Expert
Mentored junior developers on best practices in React.,React,Expert
Have shipped a couple of side projects built with GraphQL.,GraphQL,Intermediate
One year of experience working with AWS.,AWS,Intermediate
Can independently build features using Redis with some guidance.,Redis,Intermediate
One year of experience working with Deep Learning.,Deep Learning,Intermediate
Solid working knowledge of GraphQL from an internship.,GraphQL,Intermediate
Some hands-on experience with AWS in small assignments.,AWS,Beginner
Have read the documentation for Go but limited practical use.,Go,Beginner
Extensive production experience with PyTorch at scale.,PyTorch,Expert
Beginner-level knowledge of GraphQL.,GraphQL,Beginner
Used PHP to build a personal project.,PHP,Intermediate
Contributed to open-source projects related to PHP.,PHP,Expert
Led a team building production systems with PyTorch.,PyTorch,Expert
Extensive production experience with Python at scale.,Python,Expert
Architected scalable solutions using Docker for enterprise clients.,Docker,Expert
Developed features using Node.js in a small team.,Node.js,Intermediate
Extensive production experience with PHP at scale.,PHP,Expert
Built a full application using Tailwind CSS.,Tailwind CSS,Intermediate
Applied AWS to solve practical problems in coursework.,AWS,Intermediate
Led a team building production systems with REST API.,REST API,Expert
Two years of hands-on experience with SQL.,SQL,Intermediate
"Deep expertise in Deep Learning, including advanced patterns and internals.",Deep Learning,Expert
Can independently build features using Docker with some guidance.,Docker,Intermediate
Implemented core functionality with Redis in a group project.,Redis,Intermediate
Beginner-level knowledge of JavaScript.,JavaScript,Beginner
One year of experience working with REST API.,REST API,Intermediate
Extensive production experience with Git at scale.,Git,Expert
Have read the documentation for Python but limited practical use.,Python,Beginner
Contributed to a project using Python during an internship.,Python,Intermediate
Worked with Django for several months on a team project.,Django,Intermediate
Trained the engineering team on advanced Linux concepts.,Linux,Expert
Comfortable writing Node.js code for medium-sized applications.,Node.js,Intermediate
Contributed to a project using Kubernetes during an internship.,Kubernetes,Intermediate
Trained the engineering team on advanced TypeScript concepts.,TypeScript,Expert
Two years of hands-on experience with Linux.,Linux,Intermediate
Wrote a few small scripts using Python.,Python,Beginner
Mentored junior developers on best practices in Tailwind CSS.,Tailwind CSS,Expert
Only used Git in a couple of homework assignments.,Git,Beginner
Completed an introductory course in Machine Learning.,Machine Learning,Beginner
Led a team building production systems with MongoDB.,MongoDB,Expert
Took an online tutorial on Machine Learning.,Machine Learning,Beginner
Have shipped a couple of side projects built with Docker.,Docker,Intermediate
Implemented core functionality with Linux in a group project.,Linux,Intermediate
"New to GraphQL, still getting comfortable with the basics.",GraphQL,Beginner
Took an online tutorial on Redis.,Redis,Beginner
Currently learning Tailwind CSS as part of a bootcamp.,Tailwind CSS,Beginner
Mentored junior developers on best practices in PHP.,PHP,Expert
Currently learning Machine Learning as part of a bootcamp.,Machine Learning,Beginner
"Deep expertise in Redis, including advanced patterns and internals.",Redis,Expert
Have read the documentation for Flask but limited practical use.,Flask,Beginner
Led a team building production systems with CI/CD.,CI/CD,Expert
Built a full application using Linux.,Linux,Intermediate
Used Machine Learning extensively during a semester-long project.,Machine Learning,Intermediate
Drove major performance improvements in a Node.js-based system.,Node.js,Expert
Owned the technical roadmap for a major Go migration.,Go,Expert
Started exploring Python recently.,Python,Beginner
Designed the core architecture of a large-scale REST API application.,REST API,Expert
Two years of hands-on experience with REST API.,REST API,Intermediate
Solid working knowledge of Kubernetes from an internship.,Kubernetes,Intermediate
